bot_name,method,params,position_id,coin,category,status,direction,entry_price,exit_price,quantity,total_invested_usd,total_sold_usd,pnl_usd,pnl_pct,is_clean_win,dca_count,entry_time,exit_time,hold_hours,tp_armed,peak_price,last_buy_price,pos_tp_pct,pos_dca_pct,pos_trail_pct,is_paper,sequence_number,coin_trade_number
E15-6,E15,"{""lookback"": 48, ""rsi_threshold"": 50, ""price_drop_pct"": 7.0}",116,ARG,micro,closed,long,0.339600000000000000,0.347800000000000000,294.46407538,100.00000000,102.41460542,2.4146,2.41,1,0,2026-06-10 08:10:20.399200,2026-06-11 14:40:38.448376,30.51,True,0.375900000000000000,0.339600000000000000,8.00,15.00,3.00,True,1,1
E15-6,E15,"{""lookback"": 48, ""rsi_threshold"": 50, ""price_drop_pct"": 7.0}",387,OIL(USOON),micro,closed,long,131.430000000000000000,133.710000000000000000,0.76086129,100.00000000,101.73476309,1.7348,1.73,1,0,2026-06-10 08:12:39.031112,2026-06-11 07:21:21.462351,23.15,True,138.740000000000000000,131.430000000000000000,8.00,15.00,3.00,True,1,1
E15-6,E15,"{""lookback"": 48, ""rsi_threshold"": 50, ""price_drop_pct"": 7.0}",631,WIF,small,closed,long,0.151600000000000000,0.155700000000000000,659.63060686,100.00000000,102.70448549,2.7045,2.70,1,0,2026-06-10 08:15:04.871945,2026-06-12 01:29:23.932044,41.24,True,0.159200000000000000,0.151600000000000000,5.00,10.00,2.00,True,1,1
E15-6,E15,"{""lookback"": 48, ""rsi_threshold"": 50, ""price_drop_pct"": 7.0}",882,XOXO,micro,closed,long,0.000062820000000000,0.000074280000000000,1591849.72938555,100.00000000,118.24259790,18.2426,18.24,1,0,2026-06-10 08:17:17.388835,2026-06-11 16:40:31.526214,32.39,True,0.000077670000000000,0.000062820000000000,8.00,15.00,3.00,True,1,1
E15-6,E15,"{""lookback"": 48, ""rsi_threshold"": 50, ""price_drop_pct"": 7.0}",1126,ICP,mid,open,long,2.257000000000000000,,44.30660168,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-10 08:19:42.227639,,57.28,False,,2.257000000000000000,4.00,7.00,1.60,True,1,1
E15-6,E15,"{""lookback"": 48, ""rsi_threshold"": 50, ""price_drop_pct"": 7.0}",1361,PTB,micro,closed,long,0.000553300000000000,0.000566200000000000,180733.77914332,100.00000000,102.33146575,2.3315,2.33,1,0,2026-06-10 08:22:06.692616,2026-06-12 01:29:23.933985,41.12,True,0.000585600000000000,0.000553300000000000,8.00,15.00,3.00,True,1,1
E15-6,E15,"{""lookback"": 48, ""rsi_threshold"": 50, ""price_drop_pct"": 7.0}",1595,IMU,micro,open,long,0.001383000000000000,,72306.57989877,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-10 08:24:30.671549,,57.20,False,,0.001383000000000000,8.00,15.00,3.00,True,1,1
E15-6,E15,"{""lookback"": 48, ""rsi_threshold"": 50, ""price_drop_pct"": 7.0}",1822,CCD,micro,closed,long,0.004502000000000000,0.004589000000000000,22212.35006664,100.00000000,101.93247446,1.9325,1.93,1,0,2026-06-10 08:26:54.685372,2026-06-10 23:24:10.448256,14.95,True,0.004734000000000000,0.004502000000000000,8.00,15.00,3.00,True,1,1
E15-6,E15,"{""lookback"": 48, ""rsi_threshold"": 50, ""price_drop_pct"": 7.0}",2047,FARM,micro,closed,long,5.297000000000000000,5.345000000000000000,18.87861053,100.00000000,100.90617328,0.9062,0.91,1,0,2026-06-10 08:29:19.106759,2026-06-10 17:43:50.265034,9.24,True,5.573000000000000000,5.297000000000000000,8.00,15.00,3.10,True,1,1
E15-6,E15,"{""lookback"": 48, ""rsi_threshold"": 50, ""price_drop_pct"": 7.0}",2272,LIF3,micro,closed,long,0.001623000000000000,0.001775000000000000,61614.29451633,100.00000000,109.36537277,9.3654,9.37,1,0,2026-06-10 08:31:47.841855,2026-06-12 01:33:03.464212,41.02,True,0.001836000000000000,0.001623000000000000,8.00,15.00,3.00,True,1,1
